COUNTY,POPESTIMATE2019
19,46718
21,30060
23,8303
25,12630
27,20477
29,81676
31,12879
33,12747
35,39001
37,93584
39,4760
41,10631
43,26797
45,16159
47,70461
49,36263
51,19901
53,10218
55,8806
57,6614
59,101511
61,12150
63,7517
65,14106
67,323152
69,14581
71,35589
73,50991
75,5969
77,8869
79,17666
81,25069
83,37266
85,26427
87,10941
89,35098
91,8722
93,110958
95,26010
97,18886
99,19035
101,45210
103,16126
105,4380
107,44686
109,13329
111,766757
113,54115
115,22188
117,166998
119,14806
121,31145
123,14398
125,60813
127,15317
129,7403
131,9877
133,21553
135,13275
137,24549
139,9194
141,27102
143,8210
145,65418
147,17231
149,9207
151,92987
153,12161
155,19273
157,31100
159,11195
161,17070
163,28572
165,6489
167,21933
169,10071
171,10650
173,28157
175,13309
177,30622
179,46233
181,7269
183,23994
185,66799
187,10901
189,4415
191,14590
193,25758
195,57876
197,12359
199,64979
201,2108
203,16695
205,24460
207,17923
209,57004
211,49024
213,18572
215,19351
217,25769
219,12294
221,14651
223,8471
225,14381
227,132896
229,12095
231,20333
233,12942
235,36264
237,7157
239,26734
0,4648794
1,62045
3,25627
5,126604
7,21891
9,40144
11,37497
13,13241
15,127039
17,240204
19,203436
21,9918
23,6973
25,9494
27,15670
29,19259
31,27463
33,440059
35,6861
37,19135
39,33395
41,20015
43,22389
45,69830
47,32511
49,15744
51,432493
53,31368
55,244390
57,97614
59,14892
61,46742
63,140789
65,10951
67,24874
69,38158
71,390144
73,153279
75,23197
77,21730
79,129648
81,8442
83,20122
85,23884
87,47244
89,53100
91,10132
93,21096
95,42837
97,82124
99,53431
101,49348
103,260419
105,134758
107,4334
109,110461
111,22108
113,59511
115,47429
117,46194
119,38340
121,26465
123,10830
125,15568
127,13904
0,1344212
1,108277
3,67055
5,295003
7,30199
9,54987
11,122302
13,39772
15,34634
17,57975
19,152148
21,16785
23,35856
25,50484
27,39715
29,31379
31,207641
0,6045680
1,70416
3,579234
5,827370
9,92525
11,33406
13,168447
15,102855
17,163257
19,31929
21,259547
23,29014
25,255441
27,325690
29,19422
31,1050688
33,909327
35,50381
37,113510
39,25616
41,37181
43,151049
45,103609
47,52276
510,593490
0,6892503
1,212990
3,124944
5,565217
7,17332
9,789034
11,70180
13,466372
15,160830
17,1611699
19,11399
21,706775
23,521202
25,803907
27,830622
0,9986857
1,10405
3,9108
5,118081
7,28405
9,23324
11,14883
13,8209
15,61550
17,103126
19,17766
21,153401
23,43517
25,134159
27,51787
29,26143
31,25276
33,37349
35,30950
37,79595
39,14029
41,35784
43,25239
45,110268
47,33415
49,405813
51,25449
53,13975
55,93088
57,40711
59,45605
61,35684
63,30981
65,292406
67,64697
69,25127
71,11066
73,69872
75,158510
77,265066
79,18038
81,656955
83,2116
85,11853
87,87607
89,21761
91,98451
93,191995
95,6229
97,10799
99,873972
101,24558
103,66699
105,29144
107,43453
109,22780
111,83156
113,15118
115,150500
117,63888
119,9328
121,173566
123,48980
125,1257584
127,26467
129,20997
131,5720
133,23460
135,8241
137,24668
139,291830
141,12592
143,24019
145,190539
147,159128
149,60964
151,41170
153,8094
155,68122
157,52245
159,75677
161,367601
163,1749343
165,33631
0,5639632
1,15886
3,356921
5,34423
7,47188
9,40889
11,4991
13,67653
15,25008
17,35871
19,105089
21,29779
23,11800
25,56579
27,64222
29,8818
31,5463
33,11196
35,65055
37,429021
39,20934
41,38141
43,13653
45,21067
47,30281
49,46340
51,5972
53,1265843
55,18600
57,21491
59,40596
61,45130
63,9846
65,16337
67,43199
69,4298
71,12229
73,6623
75,10641
77,3740
79,28887
81,5639
83,25474
85,35893
87,5527
89,9336
91,19683
93,23222
95,26277
97,33386
99,40062
101,8194
103,34274
105,21629
107,6375
109,158293
111,58746
113,14119
115,29579
117,9126
119,31364
121,11249
123,550321
125,4055
127,15170
129,14548
131,66972
133,9315
135,15165
137,199070
139,149013
141,97238
143,14865
145,161075
147,36649
149,9805
151,9266
153,24664
155,3259
157,21627
159,13682
161,18612
163,262440
165,10897
167,6207
169,50484
171,138377
173,9709
0,2976149
1,30693
3,36953
5,12297
7,18174
9,8259
11,30628
13,14361
15,9947
17,17103
19,8210
21,8988
23,15541
25,19316
27,22124
29,28065
31,18636
33,184945
35,74897
37,7713
39,24500
41,13586
43,20758
45,47632
47,208080
49,231840
51,17010
53,8064
55,1327
57,23390
59,143617
61,16383
63,6990
65,11128
67,68098
69,9742
71,54019
73,63343
75,74125
77,12586
79,22786
81,85436
83,28183
85,34153
87,58595
89,106272
91,24573
93,35294
95,35252
97,9775
99,29118
101,21018
103,10417
105,49587
107,34192
109,55535
111,11973
113,39288
115,32174
117,25126
119,6792
121,155271
123,28124
125,4321
127,26658
129,15916
131,18336
133,25110
135,13809
137,28321
139,22015
141,19383
143,9632
145,28815
147,14286
149,45381
151,43909
153,20183
155,9689
157,8630
159,17955
161,12108
163,29690
0,6137428
1,25343
3,17712
5,5143
7,25388
9,35789
11,11754
13,16172
15,19443
17,12133
19,180463
21,87364
23,42478
25,9020
27,44743
29,46305
31,78871
33,8679
35,5982
37,105780
39,14349
41,7426
43,88595
45,6797
47,249948
49,20387
51,76745
53,17709
55,23920
57,7561
59,16878
61,8278
63,12547
65,15573
67,13185
69,29131
71,103967
73,14706
75,6571
77,293086
79,9850
81,8352
83,21824
85,9544
87,4403
89,10001
91,40117
93,10125
95,703011
97,121328
99,225081
101,54062
103,3959
105,35723
107,32708
109,38355
111,9776
113,59013
115,11920
117,15227
119,22837
121,15117
123,12088
125,8697
127,28530
129,3617
131,25619
133,13180
135,16132
137,8644
139,11551
141,20627
143,17076
145,58236
147,22092
149,10529
151,13615
153,9174
155,15805
157,19136
159,42339
161,44573
163,18302
165,104418
167,32149
169,52607
171,4696
173,10309
175,24748
177,23018
179,6270
181,13288
183,402022
185,9397
186,17894
187,67215
189,994205
195,22761
197,4660
199,4902
201,38280
203,8166
205,5930
207,29025
209,31952
211,6089
213,55928
215,25398
217,20563
219,35649
221,24730
223,12873
225,39592
227,2013
229,18289
510,300576
0,1068778
1,9453
3,13319
5,6681
7,6237
9,10725
11,1252
13,81366
15,5635
17,11402
19,1690
21,8613
23,9140
25,2846
27,11050
29,103806
31,114434
33,1258
35,13753
37,821
39,3379
41,16484
43,12221
45,2007
47,30458
49,69432
51,2337
53,19980
55,1664
57,8600
59,1862
61,4397
63,119600
65,4633
67,16606
69,487
71,3954
73,5911
75,1682
77,6890
79,1077
81,43806
83,10803
85,11004
87,8937
89,12113
91,3309
93,34915
95,9642
97,3737
99,6147
101,4736
103,696
105,7396
107,2126
109,969
111,161300
0,1934408
1,31363
3,6298
5,463
7,745
9,465
11,5192
13,10783
15,1919
17,2955
19,49659
21,6459
23,8016
25,26248
27,8402
29,3924
31,5689
33,8910
35,6203
37,10709
39,8846
41,10777
43,20026
45,8589
47,23595
49,1794
51,5636
53,36565
55,571327
57,1693
59,5462
61,2979
63,2627
65,4676
67,21513
69,1837
71,1969
73,1990
75,623
77,2356
79,61353
81,9324
83,3380
85,922
87,2762
89,10067
91,682
93,6445
95,7046
97,5071
99,6495
101,8034
103,806
105,3632
107,8332
109,319090
111,34914
113,748
115,664
117,494
119,35099
121,7755
123,4642
125,3519
127,6972
129,4148
131,16012
133,2613
135,2891
137,9034
139,7148
141,33470
143,5213
145,10724
147,7865
149,1357
151,14224
153,187196
155,21578
157,35618
159,17284
161,5246
163,3001
165,1166
167,5920
169,5003
171,722
173,7224
175,4158
177,20729
179,9385
181,3487
183,783
185,13679
0,3080156
1,24909
3,2266715
5,48905
7,52778
9,873
11,2029
13,16831
15,5532
17,5183
19,57510
21,4505
23,46523
